EVTYPE,NEWEVTYPE,count
WINTRY MIX,WINTER STORM,4
WINTER WEATHER/MIX,WINTER STORM,139
WINTER WEATHER MIX,WINTER STORM,2
WINTER WEATHER,WINTER STORM,407
WINTER STORMS,WINTER STORM,1
WINTER STORM HIGH WINDS,WINTER STORM,1
WINTER STORM,WINTER STORM,1507
WINDS,WIND,18
WIND/HAIL,WIND,1
WIND STORM,WIND,1
WIND DAMAGE,WIND,9
WIND AND WAVE,WIND,1
WIND,WIND,84
WILDFIRES,FIRE,3
WILDFIRE,FIRE,857
WILD/FOREST FIRES,FIRE,1
WILD/FOREST FIRE,FIRE,388
WILD FIRES,FIRE,4
WHIRLWIND,WIND,3
WET MICROBURST,WATER,3
WATERSPOUT-TORNADO,TORNADO,1
WATERSPOUT/TORNADO,TORNADO,6
WATERSPOUT/ TORNADO,TORNADO,1
WATERSPOUT TORNADO,TORNADO,1
WATERSPOUT-,TORNADO,7
WATERSPOUT,TORNADO,47
WARM WEATHER,HEAT,1
VOLCANIC ASH,VOLCANO,2
URBAN/SML STREAM FLD,FLOOD,702
URBAN/SMALL STREAM FLOOD,FLOOD,9
URBAN/SMALL STREAM,FLOOD,1
URBAN SMALL,FLOOD,1
URBAN FLOODS,FLOOD,2
URBAN FLOODING,FLOOD,80
URBAN FLOOD,FLOOD,139
URBAN AND SMALL STREAM FLOODIN,FLOOD,1
URBAN AND SMALL,FLOOD,1
UNSEASONAL RAIN,RAIN,2
UNSEASONABLY WARM AND DRY,HEAT,1
UNSEASONABLY WARM,HEAT,7
UNSEASONABLY COLD,COLD,4
UNSEASONABLE COLD,COLD,1
TYPHOON,HURRICANE,9
TUNDERSTORM WIND,THUNDERSTORM,1
TSUNAMI,TSUNAMI,14
TSTMW,THUNDERSTORM,1
TSTM WINDS,THUNDERSTORM,5
TSTM WIND/HAIL,THUNDERSTORM,441
TSTM WIND G58,THUNDERSTORM,1
TSTM WIND G45,THUNDERSTORM,1
TSTM WIND DAMAGE,THUNDERSTORM,1
TSTM WIND AND LIGHTNING,THUNDERSTORM,1
TSTM WIND 65),THUNDERSTORM,1
TSTM WIND 55,THUNDERSTORM,2
TSTM WIND 45,THUNDERSTORM,1
TSTM WIND 40,THUNDERSTORM,1
TSTM WIND (G45),THUNDERSTORM,36
TSTM WIND (G40),THUNDERSTORM,9
TSTM WIND (G35),THUNDERSTORM,1
TSTM WIND (41),THUNDERSTORM,1
TSTM WIND  (G45),THUNDERSTORM,1
TSTM WIND,THUNDERSTORM,62417
TROPICAL STORM JERRY,TROPICAL STORM,2
TROPICAL STORM GORDON,TROPICAL STORM,1
TROPICAL STORM DEAN,TROPICAL STORM,1
TROPICAL STORM ALBERTO,TROPICAL STORM,1
TROPICAL STORM,TROPICAL STORM,416
TROPICAL DEPRESSION,TROPICAL STORM,35
TORRENTIAL RAINFALL,RAIN,1
TORNDAO,TORNADO,1
"TORNADOES, TSTM WIND, HAIL",TORNADO,1
TORNADOES,TORNADO,2
TORNADO F3,TORNADO,2
TORNADO F2,TORNADO,2
TORNADO F1,TORNADO,4
TORNADO F0,TORNADO,5
TORNADO,TORNADO,16282
TIDAL FLOODING,TIDAL FLOODING,4
THUNERSTORM WINDS,THUNDERSTORM,1
THUNDERTORM WINDS,THUNDERSTORM,3
THUNDERSTROM WIND,THUNDERSTORM,1
THUNDERSTORMWINDS,THUNDERSTORM,1
THUNDERSTORMW,THUNDERSTORM,1
THUNDERSTORMS WINDS,THUNDERSTORM,6
THUNDERSTORMS WIND,THUNDERSTORM,3
THUNDERSTORMS,THUNDERSTORM,1
THUNDERSTORM WINS,THUNDERSTORM,1
THUNDERSTORM WINDSS,THUNDERSTORM,33
THUNDERSTORM WINDSHAIL,THUNDERSTORM,1
THUNDERSTORM WINDS53,THUNDERSTORM,1
THUNDERSTORM WINDS/HAIL,THUNDERSTORM,22
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM,1
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM,1
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM,2
THUNDERSTORM WINDS.,THUNDERSTORM,1
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM,6
THUNDERSTORM WINDS HAIL,THUNDERSTORM,40
THUNDERSTORM WINDS G60,THUNDERSTORM,1
THUNDERSTORM WINDS AND,THUNDERSTORM,1
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM,1
THUNDERSTORM WINDS 13,THUNDERSTORM,1
THUNDERSTORM WINDS,THUNDERSTORM,11914
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM,1
THUNDERSTORM WIND/HAIL,THUNDERSTORM,1
THUNDERSTORM WIND/AWNING,THUNDERSTORM,1
THUNDERSTORM WIND/ TREES,THUNDERSTORM,4
THUNDERSTORM WIND/ TREE,THUNDERSTORM,1
THUNDERSTORM WIND.,THUNDERSTORM,1
THUNDERSTORM WIND TREES,THUNDERSTORM,1
THUNDERSTORM WIND G60,THUNDERSTORM,1
THUNDERSTORM WIND G55,THUNDERSTORM,1
THUNDERSTORM WIND G52,THUNDERSTORM,1
THUNDERSTORM WIND 98 MPH,THUNDERSTORM,1
THUNDERSTORM WIND 65MPH,THUNDERSTORM,1
THUNDERSTORM WIND 65 MPH,THUNDERSTORM,1
THUNDERSTORM WIND 60 MPH,THUNDERSTORM,2
THUNDERSTORM WIND (G40),THUNDERSTORM,1
THUNDERSTORM WIND,THUNDERSTORM,43652
THUNDERSTORM HAIL,THUNDERSTORM,1
THUNDERSTORM DAMAGE TO,THUNDERSTORM,1
THUNDERSTORM  WINDS,THUNDERSTORM,3
THUNDERSTORM,THUNDERSTORM,19
THUNDERSNOW,THUNDERSTORM,1
THUNDERESTORM WINDS,THUNDERSTORM,1
THUNDEERSTORM WINDS,THUNDERSTORM,1
THUDERSTORM WINDS,THUNDERSTORM,1
STRONG WINDS,WIND,52
STRONG WIND,WIND,3372
STORM SURGE/TIDE,STORM SURGE,47
STORM SURGE,STORM SURGE,177
STORM FORCE WINDS,WIND,1
SNOWMELT FLOODING,FLOOD,2
SNOW/SLEET/FREEZING RAIN,WINTER STORM,2
SNOW/SLEET,WINTER STORM,5
SNOW/ICE STORM,WINTER STORM,2
SNOW/ICE,WINTER STORM,1
SNOW/HIGH WINDS,WINTER STORM,2
SNOW/HEAVY SNOW,WINTER STORM,1
SNOW/FREEZING RAIN,WINTER STORM,2
SNOW/COLD,WINTER STORM,2
SNOW/BLOWING SNOW,WINTER STORM,1
SNOW/ ICE,WINTER STORM,1
SNOW/ BITTER COLD,WINTER STORM,1
SNOW SQUALLS,WINTER STORM,12
SNOW SQUALL,WINTER STORM,16
SNOW FREEZING RAIN,WINTER STORM,10
SNOW AND ICE STORM,WINTER STORM,1
SNOW AND ICE,WINTER STORM,3
SNOW AND HEAVY SNOW,WINTER STORM,2
SNOW ACCUMULATION,WINTER STORM,1
SNOW,WINTER STORM,54
SMALL STREAM FLOOD,FLOOD,1
SMALL HAIL,HAIL,11
SLEET/ICE STORM,WINTER STORM,1
SLEET,WINTER STORM,1
SEVERE TURBULENCE,THUNDERSTORM,1
SEVERE THUNDERSTORMS,THUNDERSTORM,2
SEVERE THUNDERSTORM WINDS,THUNDERSTORM,3
SEVERE THUNDERSTORM,THUNDERSTORM,7
SEICHE,FLOOD,9
RURAL FLOOD,FLOOD,1
ROUGH SURF,STORM SURGE,2
ROUGH SEAS,STORM SURGE,3
ROGUE WAVE,ROGUE WAVE,1
ROCK SLIDE,ROCK SLIDE,1
RIVER FLOODING,FLOOD,18
RIVER FLOOD,FLOOD,107
RIVER AND STREAM FLOOD,FLOOD,2
RIP CURRENTS/HEAVY SURF,RIP CURRENTS,2
RIP CURRENTS,RIP CURRENTS,241
RIP CURRENT,RIP CURRENTS,400
RECORD/EXCESSIVE HEAT,HEAT,1
RECORD SNOW,WINTER STORM,2
RECORD RAINFALL,RAIN,1
RECORD HEAT,HEAT,2
RECORD COLD,COLD,5
RAPIDLY RISING WATER,FLOOD,1
RAINSTORM,STORM,1
RAIN/WIND,STORM,1
RAIN/SNOW,STORM,2
RAIN,RAIN,6
OTHER,,34
NON-TSTM WIND,THUNDERSTORM,1
NON-SEVERE WIND DAMAGE,WIND,1
NON TSTM WIND,WIND,1
MUDSLIDES,MUDSLIDE,2
MUDSLIDE,MUDSLIDE,6
MUD SLIDES URBAN FLOODING,MUDSLIDE,1
MUD SLIDES,MUDSLIDE,1
MUD SLIDE,MUDSLIDE,3
MIXED PRECIPITATION,RAIN,18
MIXED PRECIP,RAIN,6
MINOR FLOODING,FLOOD,2
MICROBURST WINDS,WIND,1
MICROBURST,THUNDERSTORM,4
MARINE TSTM WIND,THUNDERSTORM,109
MARINE THUNDERSTORM WIND,THUNDERSTORM,33
MARINE STRONG WIND,THUNDERSTORM,46
MARINE MISHAP,THUNDERSTORM,2
MARINE HIGH WIND,THUNDERSTORM,19
MARINE HAIL,THUNDERSTORM,2
MARINE ACCIDENT,MARINE ACCIDENT,1
MAJOR FLOOD,FLOOD,3
LOW TEMPERATURE,COLD,7
LIGNTNING,LIGHTNING,1
LIGHTNING/HEAVY RAIN,LIGHTNING,1
LIGHTNING.,LIGHTNING,1
LIGHTNING THUNDERSTORM WINDS,LIGHTNING,1
LIGHTNING INJURY,LIGHTNING,1
LIGHTNING FIRE,LIGHTNING,1
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING,1
LIGHTNING AND HEAVY RAIN,LIGHTNING,1
LIGHTNING  WAUSEON,LIGHTNING,1
LIGHTNING,LIGHTNING,13276
LIGHTING,LIGHTNING,1
LIGHT SNOWFALL,WINTER STORM,1
LIGHT SNOW,WINTER STORM,141
LIGHT FREEZING RAIN,WINTER STORM,22
LATE SEASON SNOW,WINTER STORM,1
LANDSPOUT,LANDSPOUT,2
LANDSLUMP,LANDSLIDE,1
LANDSLIDES,LANDSLIDE,3
LANDSLIDE,LANDSLIDE,193
LAKESHORE FLOOD,FLOOD,5
LAKE-EFFECT SNOW,WINTER STORM,194
LAKE FLOOD,FLOOD,1
LAKE EFFECT SNOW,WINTER STORM,4
ICY ROADS,ICY ROADS,22
ICE/STRONG WINDS,WIND,1
ICE STORM/FLASH FLOOD,WIND,1
ICE STORM,ICY ROADS,708
ICE ROADS,ICY ROADS,1
ICE ON ROAD,ICY ROADS,1
ICE JAM FLOODING,ICE,5
ICE JAM FLOOD (MINOR,ICE,1
ICE JAM,ICE,1
ICE FLOES,ICE,2
ICE AND SNOW,ICE,1
ICE,ICE,24
HYPOTHERMIA/EXPOSURE,COLD,6
HYPOTHERMIA,COLD,1
HYPERTHERMIA/EXPOSURE,COLD,1
HVY RAIN,RAIN,1
HURRICANE-GENERATED SWELLS,STORM SURGE,3
HURRICANE/TYPHOON,HURRICANE,72
HURRICANE OPAL/HIGH WINDS,HURRICANE,1
HURRICANE OPAL,HURRICANE,8
HURRICANE GORDON,HURRICANE,1
HURRICANE FELIX,HURRICANE,1
HURRICANE ERIN,HURRICANE,7
HURRICANE EMILY,HURRICANE,1
HURRICANE EDOUARD,HURRICANE,1
HURRICANE,HURRICANE,129
HIGH WINDS/SNOW,WIND,3
HIGH WINDS/HEAVY RAIN,WIND,1
HIGH WINDS/COLD,WIND,5
HIGH WINDS/COASTAL FLOOD,WIND,1
HIGH WINDS/,WIND,1
HIGH WINDS HEAVY RAINS,WIND,1
HIGH WINDS,WIND,655
HIGH WIND/SEAS,WIND,1
HIGH WIND/HEAVY SNOW,WIND,1
HIGH WIND/BLIZZARD,WIND,1
HIGH WIND DAMAGE,WIND,2
HIGH WIND AND SEAS,WIND,1
HIGH WIND 48,WIND,1
HIGH WIND (G40),WIND,2
HIGH WIND,WIND,5521
HIGH WAVES,STORM SURGE,1
HIGH WATER,STORM SURGE,4
HIGH SWELLS,STORM SURGE,2
HIGH SURF,STORM SURGE,136
HIGH SEAS,STORM SURGE,8
HIGH  WINDS,WIND,1
HIGH,STORM SURGE,1
HEAVY SWELLS,STORM SURGE,1
HEAVY SURF/HIGH SURF,STORM SURGE,50
HEAVY SURF COASTAL FLOODING,STORM SURGE,1
HEAVY SURF AND WIND,STORM SURGE,1
HEAVY SURF,STORM SURGE,32
HEAVY SNOW-SQUALLS,WINTER STORM,15
HEAVY SNOWPACK,WINTER STORM,1
HEAVY SNOW/WINTER STORM,WINTER STORM,1
HEAVY SNOW/WIND,WINTER STORM,1
HEAVY SNOW/SQUALLS,WINTER STORM,2
HEAVY SNOW/ICE,WINTER STORM,3
HEAVY SNOW/HIGH WINDS & FLOOD,WINTER STORM,1
HEAVY SNOW/FREEZING RAIN,WINTER STORM,1
HEAVY SNOW/BLIZZARD/AVALANCHE,WINTER STORM,1
HEAVY SNOW/BLIZZARD,WINTER STORM,1
HEAVY SNOW SQUALLS,WINTER STORM,21
HEAVY SNOW SHOWER,WINTER STORM,1
HEAVY SNOW AND STRONG WINDS,WINTER STORM,1
HEAVY SNOW AND HIGH WINDS,WINTER STORM,1
HEAVY SNOW,WINTER STORM,1342
HEAVY SHOWER,RAIN,1
HEAVY SEAS,STORM SURGE,2
HEAVY RAINS/FLOODING,FLOOD,9
HEAVY RAINS,RAIN,20
HEAVY RAIN/SNOW,RAIN,1
HEAVY RAIN/SMALL STREAM URBAN,FLOOD,1
HEAVY RAIN/SEVERE WEATHER,RAIN,1
HEAVY RAIN/LIGHTNING,RAIN,1
HEAVY RAIN/HIGH SURF,RAIN,1
HEAVY RAIN AND FLOOD,RAIN,1
HEAVY RAIN,RAIN,1105
HEAVY PRECIPITATION,RAIN,1
HEAVY MIX,RAIN,8
HEAVY LAKE SNOW,WINTER STORM,1
HEAT WAVES,STORM SURGE,1
HEAT WAVE DROUGHT,DROUGHT,1
HEAT WAVE,HEAT,35
HEAT,HEAT,215
HAZARDOUS SURF,STORM SURGE,1
HARD FREEZE,WINTER STORM,2
HAILSTORM,HAIL,3
HAIL/WINDS,HAIL,2
HAIL/WIND,HAIL,2
HAIL DAMAGE,HAIL,1
HAIL 75,HAIL,1
HAIL 450,HAIL,1
HAIL 275,HAIL,3
HAIL 200,HAIL,1
HAIL 175,HAIL,2
HAIL 150,HAIL,1
HAIL 125,HAIL,1
HAIL 100,HAIL,1
HAIL 075,HAIL,1
HAIL 0.75,HAIL,1
HAIL,HAIL,26069
GUSTY WINDS,WIND,32
GUSTY WIND/RAIN,WIND,1
GUSTY WIND/HVY RAIN,WIND,1
GUSTY WIND/HAIL,WIND,1
GUSTY WIND,WIND,13
GUSTNADO,WIND,5
GROUND BLIZZARD,WINTER STORM,2
GRASS FIRES,FIRE,1
GRADIENT WIND,WIND,6
GLAZE/ICE STORM,WINTER STORM,1
GLAZE ICE,WINTER STORM,2
GLAZE,WINTER STORM,21
FUNNEL CLOUD,weird,13
FROST\FREEZE,EXTREME COLD,1
FROST/FREEZE,EXTREME COLD,117
FROST,EXTREME COLD,7
FREEZING SPRAY,EXTREME COLD,1
FREEZING RAIN/SNOW,EXTREME COLD,4
FREEZING RAIN/SLEET,EXTREME COLD,1
FREEZING RAIN,EXTREME COLD,36
FREEZING FOG,EXTREME COLD,7
FREEZING DRIZZLE,EXTREME COLD,7
FREEZE,EXTREME COLD,18
FOREST FIRES,FIRE,1
FOG AND COLD TEMPERATURES,COLD,1
FOG,COLD,107
FLOODS,FLOOD,3
FLOODING,FLOOD,55
FLOOD/RIVER FLOOD,FLOOD,1
FLOOD/RAIN/WINDS,FLOOD,5
FLOOD/FLASHFLOOD,FLOOD,1
FLOOD/FLASH/FLOOD,FLOOD,1
FLOOD/FLASH FLOOD,FLOOD,276
FLOOD/FLASH,FLOOD,1
FLOOD FLASH,FLOOD,1
FLOOD & HEAVY RAIN,FLOOD,2
FLOOD,FLOOD,10175
FLASH FLOODS,FLOOD,13
FLASH FLOODING/THUNDERSTORM WI,FLOOD,1
FLASH FLOODING/FLOOD,FLOOD,8
FLASH FLOODING,FLOOD,302
FLASH FLOOD/LANDSLIDE,FLOOD,1
FLASH FLOOD/FLOOD,FLOOD,16
FLASH FLOOD/ STREET,FLOOD,1
FLASH FLOOD/,FLOOD,1
FLASH FLOOD WINDS,FLOOD,1
FLASH FLOOD LANDSLIDES,FLOOD,1
FLASH FLOOD FROM ICE JAMS,FLOOD,5
FLASH FLOOD - HEAVY RAIN,FLOOD,2
FLASH FLOOD,FLOOD,20956
FALLING SNOW/ICE,WINTER STORM,2
EXTREME WINDCHILL,WINTER STORM,19
EXTREME WIND CHILL,WINTER STORM,1
EXTREME HEAT,HEAT,17
EXTREME COLD/WIND CHILL,COLD,111
EXTREME COLD,COLD,199
EXTENDED COLD,COLD,1
EXCESSIVE WETNESS,WATER,1
EXCESSIVE SNOW,WINTER STORM,25
EXCESSIVE RAINFALL,RAIN,1
EXCESSIVE HEAT,HEAT,698
EROSION/CSTL FLOOD,EROSION,2
EARLY FROST,WINTER STORM,1
DUST STORM/HIGH WINDS,DUST,1
DUST STORM,DUST,103
DUST DEVIL WATERSPOUT,DUST,1
DUST DEVIL,DUST,95
DRY MIRCOBURST WINDS,WIND,1
DRY MICROBURST,WIND,78
DROWNING,DROWNING,1
DROUGHT/EXCESSIVE HEAT,HEAT,10
DROUGHT,DROUGHT,266
DOWNBURST,RAIN,1
DENSE SMOKE,FIRE,1
DENSE FOG,FOG,74
DAMAGING FREEZE,COLD,6
DAM BREAK,DAM BREAK,2
COOL AND WET,COLD,1
COLD/WINDS,COLD,1
COLD/WIND CHILL,COLD,90
COLD WEATHER,COLD,4
COLD WAVE,COLD,1
COLD TEMPERATURE,COLD,2
COLD AND WET CONDITIONS,COLD,1
COLD AND SNOW,COLD,1
COLD AIR TORNADO,COLD,1
COLD,COLD,38
COASTALSTORM,STORM SURGE,1
COASTAL SURGE,STORM SURGE,1
COASTAL STORM,STORM SURGE,4
COASTAL FLOODING/EROSION,STORM SURGE,3
COASTAL FLOODING,STORM SURGE,61
COASTAL FLOOD,STORM SURGE,168
COASTAL EROSION,STORM SURGE,1
COASTAL  FLOODING/EROSION,STORM SURGE,1
BRUSH FIRE,FIRE,3
BLOWING SNOW,WINTER STORM,2
BLOWING DUST,DUST,1
BLIZZARD/WINTER STORM,WINTER STORM,1
BLIZZARD,WINTER STORM,253
BLACK ICE,ICE,1
BEACH EROSION,STORM SURGE,1
AVALANCHE,AVALANCHE,268
AVALANCE,AVALANCHE,1
ASTRONOMICAL LOW TIDE,THE GODS,2
ASTRONOMICAL HIGH TIDE,THE GODS,8
APACHE COUNTY,Who Knows,1
AGRICULTURAL FREEZE,WINTER STORM,3
?,,1
 TSTM WIND (G45),THUNDERSTORM,1
 TSTM WIND,THUNDERSTORM,2
 FLASH FLOOD,FLOOD,1
   HIGH SURF ADVISORY,SURF,1
